target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,CHN_SH-CRC-3_lefse,CHN_SH-CRC-3_MaAsLin,CHN_SH-CRC-3_Ancom
CHN_WF-CRC,Phocaeicola_vulgatus,Blautia_wexlerae,Ruminococcus_bromii,Bifidobacterium_longum,Ruminococcus_bromii,Bifidobacterium_longum,Phocaeicola_vulgatus,GGB14025_SGB14906,Phocaeicola_vulgatus,Alistipes_putredinis,Blautia_wexlerae,Alistipes_putredinis,Phocaeicola_vulgatus,Bacteroides_salyersiae,Phocaeicola_vulgatus,,,,Fusicatenibacter_saccharivorans,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium,Phocaeicola_vulgatus,Lachnospiraceae_bacterium_AM48_27BH,Alistipes_shahii,Enterococcus_faecium,Ruminococcus_lactaris,Ruminococcus_lactaris
,Ruminococcus_bromii,Blautia_obeum,Eubacterium_rectale,GGB51647_SGB4348,GGB3612_SGB4882,,Gemmiger_formicilis,Phocaeicola_massiliensis,Blautia_obeum,Bacteroides_stercoris,Anaerostipes_hadrus,Dorea_longicatena,GGB51647_SGB4348,Dorea_longicatena,Dorea_longicatena,,,,Lachnospiraceae_bacterium,Faecalibacillus_intestinalis,,Alistipes_shahii,Alistipes_shahii,,Prevotella_copri_clade_A,Clostridiales_bacterium_KLE1615,Ruminococcus_torques
,Eubacterium_rectale,Anaerostipes_hadrus,Phocaeicola_vulgatus,Anaerostipes_hadrus,Eubacteriaceae_bacterium,,Phocaeicola_massiliensis,GGB9608_SGB15041,Gemmiger_formicilis,Blautia_wexlerae,Parasutterella_excrementihominis,Coprococcus_comes,Bacteroides_caccae,Bacteroides_caccae,Bacteroides_caccae,,,,Blautia_faecis,GGB9453_SGB14844,,Ruminococcus_sp_BSD2780120874_150323_B10,Collinsella_SGB4121,,Roseburia_inulinivorans,Enterococcus_faecalis,
,Phocaeicola_massiliensis,Blautia_SGB4815,Bacteroides_uniformis,Bifidobacterium_catenulatum,Bifidobacterium_catenulatum,,Anaerobutyricum_hallii,Blautia_massiliensis,,Alistipes_shahii,Blautia_SGB4815,Dorea_formicigenerans,Lachnospira_sp_NSJ_43,Bacteroides_clarus,Bacteroides_salyersiae,,,,Staphylococcus_SGB6340,Dorea_formicigenerans,,Bacteroides_salyersiae,Bacteroides_salyersiae,,Megasphaera_micronuciformis,Roseburia_inulinivorans,
,Bacteroides_stercoris,Phocaeicola_vulgatus,Phocaeicola_massiliensis,Eubacteriaceae_bacterium,Desulfovibrio_piger,,Dorea_longicatena,Blautia_obeum,,GGB9713_SGB15249,Dorea_formicigenerans,Blautia_wexlerae,Bifidobacterium_adolescentis,Clostridium_sp_AM42_4,,,,,Vescimonas_SGB15087,Staphylococcus_SGB6340,,GGB79734_SGB15291,GGB79734_SGB15291,,Ruminococcus_torques,GGB3277_SGB4327,
,Bacteroides_uniformis,Faecalibacillus_intestinalis,Dorea_longicatena,Methylobacterium_SGB15164,Bifidobacterium_longum,,Blautia_obeum,Clostridium_sp_AF20_17LB,,Anaerostipes_hadrus,Dorea_sp_AF36_15AT,Parabacteroides_merdae,Dorea_longicatena,Lachnospira_sp_NSJ_43,,,,,GGB9699_SGB15216,Collinsella_SGB14861,,Clostridium_sp_AF36_4,GGB9602_SGB15031,,Ruminococcus_lactaris,Eubacterium_ventriosum,
,Alistipes_putredinis,Streptococcus_thermophilus,Coprococcus_comes,Bacteroides_intestinalis,Ruminococcus_callidus,,Blautia_massiliensis,Anaerostipes_caccae,,Dorea_longicatena,Blautia_faecis,Bacteroides_stercoris,Candidatus_Cibionibacter_quicibialis,Collinsella_SGB4121,,,,,Bifidobacterium_pseudocatenulatum,Clostridium_saudiense,,Klebsiella_pneumoniae,Hungatella_hathewayi,,Clostridium_sp_AM22_11AC,Ruminococcus_torques,
,Blautia_wexlerae,Blautia_faecis,Bacteroides_caccae,Slackia_isoflavoniconvertens,GGB51647_SGB4348,,Roseburia_hominis,Gemmiger_formicilis,,Lachnospira_eligens,Blautia_obeum,Blautia_faecis,Paraprevotella_clara,Tyzzerella_nexilis,,,,,Flavonifractor_plautii,GGB80011_SGB15267,,Parasutterella_SGB9260,Ruthenibacterium_lactatiformans,,GGB3277_SGB4327,Blautia_sp_Marseille_P3087,
,Alistipes_shahii,Bacteroides_salyersiae,Bacteroides_finegoldii,Negativibacillus_massiliensis,GGB9593_SGB15015,,Streptococcus_thermophilus,Bacteroides_nordii,,Blautia_massiliensis,Anaerobutyricum_hallii,Blautia_obeum,Bacteroides_salyersiae,Phocaeicola_vulgatus,,,,,Clostridium_saudiense,GGB9699_SGB15216,,Veillonella_parvula,Eubacterium_SGB6276,,GGB80011_SGB15267,GGB80011_SGB15267,
,Gemmiger_formicilis,Lachnospiraceae_bacterium_Marseille_Q4251,Dorea_formicigenerans,,Methylobacterium_SGB15164,,GGB9608_SGB15041,GGB3746_SGB5089,,Parabacteroides_merdae,Lachnospira_eligens,Anaerostipes_hadrus,Blautia_obeum,Bacteroides_cellulosilyticus,,,,,Faecalibacillus_intestinalis,Bifidobacterium_pseudocatenulatum,,Ruthenibacterium_lactatiformans,GGB9602_SGB15028,,Enterococcus_faecalis,Bifidobacterium_adolescentis,
