	taxa_id	W	detected_0.9	detected_0.8	detected_0.7	detected_0.6
1	Ruminococcus_bromii	0	FALSE	FALSE	FALSE	FALSE
2	Coprococcus_eutactus	0	FALSE	FALSE	FALSE	FALSE
3	Dialister_invisus	0	FALSE	FALSE	FALSE	FALSE
4	Eubacterium_rectale	0	FALSE	FALSE	FALSE	FALSE
5	Phocaeicola_vulgatus	0	FALSE	FALSE	FALSE	FALSE
6	Bacteroides_uniformis	0	FALSE	FALSE	FALSE	FALSE
7	GGB3619_SGB4894	0	FALSE	FALSE	FALSE	FALSE
8	Bacteroides_cellulosilyticus	0	FALSE	FALSE	FALSE	FALSE
9	Phocaeicola_massiliensis	0	FALSE	FALSE	FALSE	FALSE
10	GGB4684_SGB6478	0	FALSE	FALSE	FALSE	FALSE
11	Clostridium_sp_1001270H_150608_G6	0	FALSE	FALSE	FALSE	FALSE
12	Akkermansia_muciniphila	0	FALSE	FALSE	FALSE	FALSE
13	GGB3277_SGB4327	0	FALSE	FALSE	FALSE	FALSE
14	Alistipes_putredinis	0	FALSE	FALSE	FALSE	FALSE
15	Enterocloster_SGB14313	0	FALSE	FALSE	FALSE	FALSE
16	GGB9758_SGB15368	109	FALSE	FALSE	FALSE	FALSE
17	Roseburia_inulinivorans	0	FALSE	FALSE	FALSE	FALSE
18	Ruminococcus_lactaris	0	FALSE	FALSE	FALSE	FALSE
19	Bacteroides_xylanisolvens	0	FALSE	FALSE	FALSE	FALSE
20	Clostridium_sp_AM49_4BH	0	FALSE	FALSE	FALSE	FALSE
21	Lachnospira_sp_NSJ_43	0	FALSE	FALSE	FALSE	FALSE
22	GGB3256_SGB4303	0	FALSE	FALSE	FALSE	FALSE
23	Paraprevotella_clara	0	FALSE	FALSE	FALSE	FALSE
24	Eubacterium_SGB6276	0	FALSE	FALSE	FALSE	FALSE
25	Clostridium_SGB4648	0	FALSE	FALSE	FALSE	FALSE
26	Eubacterium_ventriosum	0	FALSE	FALSE	FALSE	FALSE
27	GGB9345_SGB14311	0	FALSE	FALSE	FALSE	FALSE
28	Odoribacter_splanchnicus	387	FALSE	FALSE	TRUE	TRUE
29	Dorea_longicatena	0	FALSE	FALSE	FALSE	FALSE
30	Parabacteroides_distasonis	0	FALSE	FALSE	FALSE	FALSE
31	Faecalibacterium_prausnitzii	0	FALSE	FALSE	FALSE	FALSE
32	Roseburia_faecis	0	FALSE	FALSE	FALSE	FALSE
33	Coprococcus_comes	0	FALSE	FALSE	FALSE	FALSE
34	Bacteroides_faecis	0	FALSE	FALSE	FALSE	FALSE
35	Barnesiella_intestinihominis	0	FALSE	FALSE	FALSE	FALSE
36	GGB3746_SGB5089	0	FALSE	FALSE	FALSE	FALSE
37	Intestinibacter_bartlettii	0	FALSE	FALSE	FALSE	FALSE
38	Firmicutes_bacterium_AF16_15	1	FALSE	FALSE	FALSE	FALSE
39	Bacteroides_caccae	0	FALSE	FALSE	FALSE	FALSE
40	Ruminococcus_torques	0	FALSE	FALSE	FALSE	FALSE
41	GGB9342_SGB14306	0	FALSE	FALSE	FALSE	FALSE
42	Clostridium_sp_AF12_28	0	FALSE	FALSE	FALSE	FALSE
43	Bacteroides_finegoldii	0	FALSE	FALSE	FALSE	FALSE
44	GGB9359_SGB14334	0	FALSE	FALSE	FALSE	FALSE
45	Dorea_formicigenerans	0	FALSE	FALSE	FALSE	FALSE
46	Veillonella_rogosae	0	FALSE	FALSE	FALSE	FALSE
47	Clostridium_sp_1001270J_160509_D11	0	FALSE	FALSE	FALSE	FALSE
48	GGB9636_SGB15107	0	FALSE	FALSE	FALSE	FALSE
49	Phocaeicola_dorei	0	FALSE	FALSE	FALSE	FALSE
50	Ruminococcus_bicirculans	0	FALSE	FALSE	FALSE	FALSE
51	Bacteroides_ovatus	0	FALSE	FALSE	FALSE	FALSE
52	Lachnospiraceae_bacterium	0	FALSE	FALSE	FALSE	FALSE
53	Faecalibacillus_intestinalis	0	FALSE	FALSE	FALSE	FALSE
54	GGB3612_SGB4882	0	FALSE	FALSE	FALSE	FALSE
